name,manufacturer,year,age,mileage,engine,transmission,price
Peugeot 3008,Peugeot,2018,3,15409,Diesel,Manual,22240
Peugeot 3008,Peugeot,2020,1,26430,Petrol,Semiautomatic,28490
Peugeot 3008,Peugeot,2019,2,20697,Diesel,Manual,19998
Peugeot 3008,Peugeot,2017,4,33896,Petrol,Semiautomatic,18500
Peugeot 3008,Peugeot,2018,3,25351,Petrol,Semiautomatic,24950
Peugeot 3008,Peugeot,2018,3,24400,Petrol,Semiautomatic,23450
Peugeot 3008,Peugeot,2017,4,70817,Diesel,Semiautomatic,23450
Peugeot 3008,Peugeot,2020,1,7871,Petrol,Semiautomatic,29295
Peugeot 3008,Peugeot,2018,3,10677,Petrol,Semiautomatic,26295
Peugeot 3008,Peugeot,2018,3,28023,Petrol,Semiautomatic,21249
Peugeot 3008,Peugeot,2016,5,18755,Diesel,Semiautomatic,12495
Peugeot 3008,Peugeot,2018,3,12641,Petrol,Manual,22650
Peugeot 308,Peugeot,2014,7,25388,Diesel,Manual,7295
Peugeot 308,Peugeot,2016,5,63110,Diesel,Manual,7000
Peugeot 308,Peugeot,2019,2,7030,Petrol,Manual,13680
Peugeot 308,Peugeot,2018,3,5867,Petrol,Manual,14500
Peugeot 308,Peugeot,2017,4,79485,Diesel,Manual,7000
Peugeot 308,Peugeot,2014,7,72957,Petrol,Manual,6000
Peugeot Partner,Peugeot,2018,3,38494,Diesel,Manual,9500
Peugeot Partner Tepee,Peugeot,2018,3,25794,Petrol,Manual,14990
Peugeot 107,Peugeot,2014,7,58447,Petrol,Manual,3495
Nissan Leaf,Nissan,2019,2,3649,Electric,Automatic,21504
Nissan Juke,Nissan,2020,1,10000,Petrol,Semiautomatic,20500
Nissan Juke,Nissan,2016,5,28000,Diesel,Manual,9500
Nissan Juke,Nissan,2017,4,47960,Petrol,Manual,11490
Nissan Juke,Nissan,2016,5,59600,Petrol,Manual,8295
Nissan Juke,Nissan,2018,3,31938,Petrol,Manual,11695
Nissan Juke,Nissan,2017,4,37282,Petrol,Manual,10695
Nissan Juke,Nissan,2018,3,28902,Petrol,Manual,12495
